org_study_id,nct_id,brief_title,official_title,overall_status,start_date,completion_date.text,completion_date..attrs,completion_date_type,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.affiliation,phase,study_type,enrollment.text,enrollment..attrs,primary_condition,primary_outcome,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date,overall_official.last_name.1,overall_official.role.1,overall_official.affiliation.1,enrollment,primary_outcome.measure,primary_outcome.measure.1,sponsors.collaborator.agency,sponsors.collaborator.agency_class,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,name,primary_outcome.time_frame,primary_outcome.time_frame.1,primary_outcome.measure.2,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,primary_outcome.measure.3,primary_outcome.measure.4,primary_outcome.measure.5,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,primary_outcome.description,overall_official.last_name.2,overall_official.role.2,overall_official.affiliation.2,overall_official.last_name.3,overall_official.role.3,overall_official.affiliation.3,primary_outcome.measure.6,primary_outcome.measure.7,measure,eligibility.sampling_method,eligibility.textblock.1,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.description.1,primary_outcome.time_frame.2,primary_outcome.description.2,primary_outcome.time_frame.3,primary_outcome.description.3,start_date.text,start_date..attrs,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.time_frame.5,primary_outcome.description.5,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,address.city,primary_outcome.measure.12,primary_outcome.time_frame.12,eligibility.gender_based,eligibility.gender_description,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9
"SEACAT 01 Mono (Am 1,2,3,5,6)",NCT00203801,Combination Antimalarials in Uncomplicated Malaria,"An Open Label In Vivo Drug Study to Evaluate Combination Anti-Malarial Therapy (CAT),in Terms of Therapeutic Efficacy, Prevalence of Gametocyte Carriage and Prevalence of Molecular Markers Associated With SP Resistance in Uncomplicated Plasmodium Falciparum Infections.",Completed,January 2002,NA,NA,NA,University of Cape Town,"Karen Barnes, MBChB",Principal Investigator,University of Cape Town,N/A,Interventional,NA,NA,Malaria,NA,All,12 Months,N/A,No,University of Cape Town,Other,"ClinicalTrials.gov processed this data on July 26, 2017",July 2005,NA,NA,NA,700,Therapeutic efficacy defined as:,"Adequate Clinical and Parasitological Response (ACPR), Early Treatment Failure (ETF), Late Treatment Failure (LTF), defined as Late Clinical Failure (LCF) and Late Parasitological Failure (LPF);",World Health Organization,Other,"Medical Research Council, South Africa",Other,NA,NA,NA,"Sensitive or parasitological failure (RI, early and late, RII, RIII)",Global Fund,Other,Parasitological failures will be classified as recrudescence or re-infection (or indeterminate) using GLURP and MSP I & II markers;,Parasite clearance time;,Fever clearance time.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0661123,NCT00084240,"Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia","A Phase 2/3, Randomized, Comparative, Double Blind Trial Of Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia",Terminated,March 2004,April 2005,Actual,Actual,Pfizer,Pfizer CT.gov Call Center,Study Director,Pfizer,Phase 2/Phase 3,Interventional,32,Actual,"Malaria, Falciparum",parasite clearance,All,18 Years,85 Years,No,Pfizer,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04-068,NCT00123552,Longitudinal Antimalarial Combinations in Uganda,"Longitudinal Comparison of Combination Antimalarial Therapies in Ugandan Children: Evaluation of Safety, Tolerability, and Efficacy",Completed,November 2004,December 2008,Actual,Actual,"University of California, San Francisco",NA,NA,NA,Phase 3,Interventional,690,Actual,Malaria,NA,All,1 Year,10 Years,Accepts Healthy Volunteers,"University of California, San Francisco",Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Annual incidence of malaria per treatment arm,NA,National Institute of Allergy and Infectious Diseases (NIAID),NIH,NA,NA,Assessment Center - Mulago Hospital,duration of study,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/2002/FOS-CLIN/JP006,NCT00217451,Treatment of Malaria in Gabon With Fosmidomycin-Clindamycin,Evaluation of Fosmidomycin in Combination With Clindamycin in Children With Acute Uncomplicated Plasmodium Falciparum Malaria,Completed,June 2002,NA,NA,NA,Albert Schweitzer Hospital,"Steffen Borrmann, MD",Principal Investigator,"Kenya Medical Research Institute, Centre for Geographic Medicine Research, Coast, kilifi, Kenya",Phase 2,Interventional,NA,NA,Malaria,NA,All,12 Months,14 Years,No,Albert Schweitzer Hospital,Other,"ClinicalTrials.gov processed this data on July 26, 2017",March 2003,"Peter G. Kremsner, MD, FRCP",Principal Investigator,Albert Schweitzer Hospital,51,Proportion of patients cured by day 14,Incidence of adverse events after the start of treatment,NA,NA,NA,NA,"Medical Research Unit, Lambaréné",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WRAIR 1123,NCT00223990,"Double-blind, Randomized, Controlled Study of Safety, Immunogenicity and Efficacy of a Candidate Malaria Vaccine","A Dbl-blind,Randomized,Controlled,Phase IIb Field Trial in 12-47 Month-old Children in Western Kenya to Eval the Efficacy,Safety and Immunogenicity of the FMP1/AS02A Malaria Vaccine vs Rabies Vaccine",Completed,March 2005,NA,NA,NA,U.S. Army Medical Research and Materiel Command,"Bernhards Ogutu, M.D.",Principal Investigator,Kenya Medical Research Institute,Phase 2,Interventional,NA,NA,"Malaria, Falciparum",To assess the efficacy of the FMP1/AS02A malaria vaccine on clinical episodes of P. falciparum malaria during the Efficacy Follow-up Period (EFP),All,12 Months,47 Months,Accepts Healthy Volunteers,U.S. Army Medical Research and Materiel Command,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",April 2006,NA,NA,NA,400,NA,NA,The PATH Malaria Vaccine Initiative (MVI),Other,United States Agency for International Development (USAID),U.S. Fed,Walter Reed Project,NA,NA,NA,GlaxoSmithKline,Industry,NA,NA,NA,Kenya Medical Research Institute,Other,Walter Reed Army Institute of Research (WRAIR),U.S. Fed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICA4-CT-2002-10053-REVAC,NCT00126217,Revaccination of Young Children With Bacille Calmette Guerin (BCG) Vaccine,BCG Vaccination and Childhood Morbidity and Mortality: Interventions With Possible Implications for the Immunisation Policy in Developing Countries. Revaccination of Young Children With BCG Vaccine.,Terminated,July 2002,September 2006,Actual,Actual,Bandim Health Project,Peter Aaby,Principal Investigator,Bandim Health Project,Phase 4,Interventional,2871,Actual,Malaria,NA,All,19 Months,24 Months,NA,Bandim Health Project,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Mortality till 5 years of age,Hospitalisations till 5 years of age,International Cooperation with Developing Countries,Other,"Leiden University Medical Centre, DEPT of Parasitology, Leiden Holland",Other,Bandim Health Project,NA,NA,Adverse effects within 12 months after intervention,"Medical Research Council Unit, The Gambia",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCID-3429,NCT00126906,Prevention of Malaria During Pregnancy Using Intermittent Preventive Treatment With Sulfadoxine-Pyrimethamine: Malawi,Intermittent Preventive Treatment With Sulfadoxine/Pyrimethamine During Pregnancy Among HIV-Positive and HIV-Negative Women: 2-Dose Versus Monthly – Malawi,Completed,October 2002,NA,NA,NA,Centers for Disease Control and Prevention,"Scott J Filler, MD, DTM&H",Principal Investigator,Centers for Disease Control and Prevention,N/A,Interventional,NA,NA,"Malaria, Falciparum; HIV Infections","Placental malaria parasitemia rates measured at time of delivery, stratified by HIV status",Female,15 Years,N/A,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",March 2005,NA,NA,NA,700,NA,NA,"Ministry of Health and Population, Malawi",Other,NA,NA,Machinga District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM-P 001-2005,NCT00243737,"Efficacy, Safety and Pharmacokinetic of ArtequinTM P. Falciparum Malaria","Open-label, Stratified Study on the Efficacy, Safety and Pharmacokinetic Characteristics of Two Paediatric Formulations of ArtequinTM in Children With Acute Uncomplicated P. Falciparum Malaria",Completed,October 2005,NA,NA,NA,Albert Schweitzer Hospital,"Maryvonne Kombila, Prof Dr",Principal Investigator,"Département de Parasitologie-Mycologie, Faculté de médecine",Phase 2,Interventional,NA,NA,Malaria,"Efficacy, Proportion of patients cured on day 28",All,N/A,N/A,No,Albert Schweitzer Hospital,Other,"ClinicalTrials.gov processed this data on July 26, 2017",April 2006,NA,NA,NA,70,NA,NA,Mepha Ltd.,Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UR10_01_2005,NCT00274235,Intermittent Preventive Treatment During Pregnancy in Benin,"Intermittent Preventive Treatment During Pregnancy in Benin: a Randomized, Open, and Equivalent Trial Comparing Sulfadoxine-Pyrimethamine With Mefloquine",Completed,July 2005,April 2008,Actual,Actual,Institut de Recherche pour le Developpement,"Michel Cot, MD",Principal Investigator,Institut de Recherche pour le Developpement,Phase 3,Interventional,1600,Anticipated,Malaria,"proportion of infants with low birthweight (<2,500 grams)",Female,N/A,N/A,No,Institut de Recherche pour le Developpement,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,"National Malaria Control Program, Benin",Other,"Ministry of Foreign Affairs, France",Other,Institut de Recherche pour le Développement,NA,NA,NA,"Institut des Sciences Biomédicales Appliquées, Bénin",Other,NA,NA,NA,"Faculté des Sciences de la Santé, Bénin",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0661121,NCT00082563,Azithromycin in Combination With Chloroquine Versus Chloroquine in the Eradication of Asymptomatic Plasmodium Falciparum,"A Phase II, Randomized, Comparative Trial Of Azithromycin In Combination With Chloroquine Versus Chloroquine In The Eradication Of Asymptomatic Plasmodium Falciparum Infection In Semi-Immune Adults",Terminated,August 2004,November 2004,Actual,Actual,Pfizer,Pfizer CT.gov Call Center,Study Director,Pfizer,Phase 2,Interventional,14,Actual,"Malaria, Falciparum",Parasite clearance,All,18 Years,60 Years,Accepts Healthy Volunteers,Pfizer,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0661154,NCT00282919,A Three Day Trial of Azithromycin Plus Chloroquine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria,"A Phase 2, Open Label, Non-Comparative Trial Of Azithromycin 2000 mg Plus Chloroquine 600 Mg Base Daily For Three Days For The Treatment Of Uncomplicated Plasmodium Falciparum Malaria",Completed,March 2006,February 2008,Actual,Actual,Pfizer,Pfizer CT.gov Call Center,Study Director,Pfizer,Phase 2,Interventional,110,Actual,Falciparum Malaria,NA,All,18 Years,N/A,No,Pfizer,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Percentage of Participants With Parasite Clearance at Day 28,NA,NA,NA,NA,NA,NA,Day 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parasite clearance was defined as the clearance of asexual Plasmodium falciparum (P falciparum) parasitemia (defined as three consecutive 0 parasite counts) within 7 days of initiation of treatment, without subsequent recrudescence up to Day 28. Failure to achieve clearance of asexual P falciparum parasitemia was defined as parasitemia not cleared within 7 days of initiation of treatment, or subsequent recrudescence (confirmed by molecular testing) by Day 28 after achieving clearance. Percentage of participants with clearance is reported. Here ""N"" (Number of participants analyzed) signify participants who were evaluable (parasitological per protocol) at Day 28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03-149,NCT00299208,Azithromycin Combination Therapy for Malaria,"Phase II, Open Label, Randomized Study of Azithromycin Combination Therapy for the Treatment of Acute, Uncomplicated Falciparum Malaria",Completed,NA,July 2005,Actual,Actual,National Institute of Allergy and Infectious Diseases (NIAID),NA,NA,NA,Phase 2,Interventional,NA,NA,Plasmodium Falciparum Malaria,NA,All,20 Years,65 Years,No,National Institute of Allergy and Infectious Diseases (NIAID),NIH,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,Mahidol University Hospital for Tropical Diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCID-4314,NCT00127998,Antimalarial Drug Resistance in Mali,Characterization of Novel Molecular Tools for the Epidemiological Surveillance of Antimalarial Drug Resistance in Mali,Completed,July 2005,NA,NA,NA,Centers for Disease Control and Prevention,"Robert D. Newman, MD, MPH",Principal Investigator,Centers for Disease Control and Prevention,N/A,Interventional,NA,NA,Malaria,NA,All,6 Months,59 Months,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Kassoum Kayentao, MD, MSPH",Principal Investigator,"Malaria Research and Training Center, Bamako, Mali",1011,"Early Treatment Failure (ETF, defined as: Development of danger signs or severe malaria on Day 1, 2, or 3, in the presence of parasitemia",Parasitemia on Day 2 higher than Day 0 count irrespective of axillary temperature,"Malaria Research and Training Center, Bamako, Mali",Other,NA,NA,NA,NA,NA,Parasitemia on Day 3 with axillary temperature ≥37.5°C,NA,NA,Parasitemia on Day 3 ≥ 25% of count on Day 0,"Late Clinical Failure (LCF), defined as: Development of danger signs or severe malaria from Day 4 to Day 28 in the presence of parasitemia, without previously meeting any of the criteria of ETF","Presence of parasitemia and axillary temperature ≥37.5° C on any day from Day 4 to Day 28, without previously meeting any of the criteria of ETF",NA,NA,NA,NA,NA,"John Barnwell, PhD, MPH",Principal Investigator,Centers for Disease Control and Prevention,"Ogobara Doumbo, MD, PhD",Principal Investigator,"Malaria Research and Training Center, Bamako, Mali","Late parasitological failure (LPF), defined as: Presence of parasitemia on Day 14 to Day 28 and axillary temperature <37.5°C without previously meeting any of the criteria of ETF or LCF","Adequate Clinical and Parasitological Response (ACPR), defined as: Absence of parasitemia on Day 28 irrespective of axillary temperature, without previously meeting any of the criteria of ETF, LCF or LPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCID-3683,NCT00130065,The Effect of Folic Acid on Efficacy of Sulfadoxine-pyrimethamine in Pregnant Women in Western Kenya,The Effect of Folic Acid Supplementation on Efficacy of Sulfadoxine-pyrimethamine in Pregnant Women in Western Kenya,Completed,November 2003,February 2006,Actual,Actual,Centers for Disease Control and Prevention,"Annemieke Van Eijk, M.D., Ph.D.",Principal Investigator,"Centers for Disease Control and Prevention, Kenya Medical Research Institiute",Phase 4,Interventional,NA,NA,Malaria,NA,Female,15 Years,45 Years,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Monica Parise, M.D.",Principal Investigator,Centers for Disease Control and Prevention,600,Peripheral parasitemia,Hemoglobin level,Kenya Medical Research Institute,Other,Kenya Ministry of Health,Other,CDC/Kenya Medical Research Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laurence Slutsker, M.D.",Principal Investigator,"Centers for Disease Control and Prevention, Kenya Medical Research Institute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCID-3606,NCT00111163,Intermittent Preventive Treatment With Antimalarials in Kenyan Infants,Efficacy and Safety of Pediatric Immunization-linked Preventive Intermittent Treatment With Antimalarials in Decreasing Anemia and Malaria Morbidity in Rural Western Kenya,Completed,March 2004,March 2008,Actual,Actual,Centers for Disease Control and Prevention,"Robert D Newman, MD, MPH",Principal Investigator,U.S. Centers for Disease Control and Prevention,N/A,Interventional,NA,NA,Malaria; Anemia,Clinical malaria in the first year of life,All,5 Weeks,16 Weeks,Accepts Healthy Volunteers,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Laurence Slutsker, MD, MPH",Principal Investigator,U.S. Centers for Disease Control and Prevention,1516,NA,NA,Kenya Medical Research Institute,Other,Bill and Melinda Gates Foundation,Other,"Lwak, Abidha, Ongielo and Saradidi clinics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HD200211/246,NCT00113854,Mannitol as Adjunct Therapy for Childhood Cerebral Malaria,Effect of Mannitol as Adjunct Therapy on the Clinical Outcome of Childhood Cerebral Malaria in Mulago Hospital: A Randomised Clinical Trial,Unknown status,October 2004,NA,NA,NA,Makerere University,NA,NA,NA,Phase 3,Interventional,NA,NA,Cerebral Malaria,Coma recovery time (that is time from beginning of antimalarial treatment until patient has fully regained consciousness).,All,6 Months,5 Years,No,Makerere University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",May 2005,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,"Department of Paediatrics and Child Health, Makerere Medical School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003/GD/23,NCT00301054,Study on Preventing Anemia in Children in Ghana,Preventing Anemia in Children (6months-30months) in a Malaria Endemic Rural Area in Ghana - A Randomized Double Blind Study,Completed,June 2005,NA,NA,NA,Ghana Health Services,"ANTHONY A OFOSU, MBChB, MPH",Principal Investigator,GHANA HEALTH SERVICE BEREKUM DISTRICT,N/A,Interventional,NA,NA,Anaemia in Children,"Haemoglobin concentration, Blood Film for malaria parasitaemia, weight/height ratio",All,6 Months,30 Months,Accepts Healthy Volunteers,Ghana Health Services,Other,"ClinicalTrials.gov processed this data on July 26, 2017",April 2006,"DONNA M DENNO, MD, PAEDS",Study Director,"UNIVERSITY OF WASHINGTON MEDICAL CENTER, SEATTLE, USA",872,NA,NA,Netherlands Overseas Agency,Other,NA,NA,District Health Directorate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
